,matpes_id,formula_pretty,cohesive_energy_per_atom
48,matpes-20240214_862319_4,Ac2CdSn,-3.322818687500003
49,matpes-20240214_862319_2,Ac2CdSn,-3.314903605000005
50,matpes-20240214_862319_0,Ac2CdSn,-3.255014897500004
51,matpes-20240214_862319_6,Ac2CdSn,-3.094713235
52,matpes-20240214_862319_5,Ac2CdSn,-2.949451780000004
53,matpes-20240214_862319_8,Ac2CdSn,-2.900471925000005
54,matpes-20240214_862319_1,Ac2CdSn,-2.891242442500001
55,matpes-20240214_862319_7,Ac2CdSn,-2.7441038875000032
56,matpes-20240214_862319_3,Ac2CdSn,-2.390731270000003
57,matpes-20240214_1207291_7,Ac2Cl2O,-5.092297816000007
58,matpes-20240214_1207291_3,Ac2Cl2O,-5.047204044000006
59,matpes-20240214_1207291_4,Ac2Cl2O,-4.867720028000004
60,matpes-20240214_1207291_6,Ac2Cl2O,-4.799874536000004
61,matpes-20240214_1207291_1,Ac2Cl2O,-4.778647062000004
62,matpes-20240214_1207291_5,Ac2Cl2O,-4.742414440000005
63,matpes-20240214_1207291_8,Ac2Cl2O,-4.689728518000004
64,matpes-20240214_1207291_2,Ac2Cl2O,-4.390764626000004
65,mp-1207291,Ac2Cl2O,-4.100479450000006
66,matpes-20240214_1207291_0,Ac2Cl2O,-4.100474646000004
67,matpes-20240214_862786_9,Ac2CuGe,-4.111450632500002
68,mp-862786,Ac2CuGe,-4.101358857500003
69,matpes-20240214_862786_0,Ac2CuGe,-4.101348850000008
70,matpes-20240214_862786_8,Ac2CuGe,-4.074894445000005
71,matpes-20240214_862786_3,Ac2CuGe,-4.059130285000002
72,matpes-20240214_862786_1,Ac2CuGe,-4.051500842500005
73,matpes-20240214_862786_4,Ac2CuGe,-4.001009012500006
74,matpes-20240214_862786_6,Ac2CuGe,-3.800217402500003
75,matpes-20240214_862786_5,Ac2CuGe,-3.712779377500005
76,matpes-20240214_862786_7,Ac2CuGe,-3.689376377500004
77,matpes-20240214_862786_10,Ac2CuGe,-3.638344195000002
78,matpes-20240214_862786_2,Ac2CuGe,-3.378244830000007
79,mp-861883,Ac2CuIr,-4.874972710000009
80,matpes-20240214_861883_10,Ac2CuIr,-4.7979220150000055
81,matpes-20240214_861883_0,Ac2CuIr,-4.696603315000004
82,matpes-20240214_861883_6,Ac2CuIr,-4.502740320000008
83,matpes-20240214_861883_11,Ac2CuIr,-4.469377210000005
84,matpes-20240214_861883_3,Ac2CuIr,-4.448494722500008
85,matpes-20240214_861883_7,Ac2CuIr,-4.426668312500006
86,matpes-20240214_861883_8,Ac2CuIr,-4.413596282500009
87,matpes-20240214_861883_2,Ac2CuIr,-4.389895710000005
88,matpes-20240214_861883_1,Ac2CuIr,-4.188817325000009
89,matpes-20240214_861883_5,Ac2CuIr,-4.149749950000007
90,matpes-20240214_861883_4,Ac2CuIr,-4.046124385000006
91,matpes-20240214_861883_9,Ac2CuIr,-3.986483165000002
92,matpes-20240214_1183120_10,Ac2CuRu,-4.597897400000001
93,matpes-20240214_1183120_18,Ac2CuRu,-4.550602672499998
94,mp-1183120,Ac2CuRu,-4.543217560000002
95,matpes-20240214_1183120_0,Ac2CuRu,-4.543215292500001
96,matpes-20240214_1183120_17,Ac2CuRu,-4.510011185000003
97,matpes-20240214_1183120_1,Ac2CuRu,-4.487570495
98,matpes-20240214_1183120_11,Ac2CuRu,-4.431287132500003
99,matpes-20240214_1183120_8,Ac2CuRu,-4.358231074999999
100,matpes-20240214_1183120_20,Ac2CuRu,-4.355311067499997
101,matpes-20240214_1183120_16,Ac2CuRu,-4.343307869999997
102,matpes-20240214_1183120_3,Ac2CuRu,-4.331500982500003
103,matpes-20240214_1183120_6,Ac2CuRu,-4.320923835000002
104,matpes-20240214_1183120_7,Ac2CuRu,-4.312700572499999
105,matpes-20240214_1183120_21,Ac2CuRu,-4.294627072499999
106,matpes-20240214_1183120_2,Ac2CuRu,-4.265753267500003
107,matpes-20240214_1183120_13,Ac2CuRu,-4.265500930000002
108,matpes-20240214_1183120_26,Ac2CuRu,-4.264443229999998
109,matpes-20240214_1183120_9,Ac2CuRu,-4.257315564999999
110,matpes-20240214_1183120_4,Ac2CuRu,-4.1983791775000014
111,matpes-20240214_1183120_27,Ac2CuRu,-4.195617687499997
112,matpes-20240214_1183120_15,Ac2CuRu,-4.179681479999999
113,matpes-20240214_1183120_22,Ac2CuRu,-4.088733342499999
114,matpes-20240214_1183120_5,Ac2CuRu,-4.083145795
115,matpes-20240214_1183120_19,Ac2CuRu,-4.045102597499998
116,matpes-20240214_1183120_12,Ac2CuRu,-4.011275744999999
117,matpes-20240214_1183120_25,Ac2CuRu,-4.005803237499997
118,matpes-20240214_1183120_14,Ac2CuRu,-3.988427797500001
119,matpes-20240214_1183120_23,Ac2CuRu,-3.918148292499999
120,matpes-20240214_1183120_24,Ac2CuRu,-3.700462232500001
121,mp-867122,Ac2CuSi,-4.185209875000005
122,matpes-20240214_867122_0,Ac2CuSi,-4.185208520000003
123,matpes-20240214_867122_1,Ac2CuSi,-4.123153235000004
124,matpes-20240214_867122_3,Ac2CuSi,-4.079087237500005
125,matpes-20240214_867122_6,Ac2CuSi,-3.950253745000005
126,matpes-20240214_867122_8,Ac2CuSi,-3.915105367500004
127,matpes-20240214_867122_7,Ac2CuSi,-3.760725390000004
128,matpes-20240214_867122_5,Ac2CuSi,-3.553357067500002
129,matpes-20240214_867122_2,Ac2CuSi,-3.523243607499999
130,matpes-20240214_867122_4,Ac2CuSi,-3.424763210000002
131,mp-865470,Ac2CuSn,-3.96736456
132,matpes-20240214_865470_0,Ac2CuSn,-3.664856467500001
133,matpes-20240214_865470_1,Ac2CuSn,-3.606069507500002
134,matpes-20240214_865470_2,Ac2CuSn,-3.398238557500001
135,matpes-20240214_865470_3,Ac2CuSn,-3.219490457500001
136,matpes-20240214_865470_5,Ac2CuSn,-3.118041140000002
137,matpes-20240214_865470_4,Ac2CuSn,-2.965622055000004
138,matpes-20240214_862683_0,Ac2GaCu,-3.741204937500001
139,mp-862683,Ac2GaCu,-3.7412045775000062
140,matpes-20240214_862683_1,Ac2GaCu,-3.136351342500006
141,matpes-20240214_1183054_8,Ac2GaSi,-4.121839522500004
142,matpes-20240214_1183054_5,Ac2GaSi,-4.072972267500006
143,mp-1183054,Ac2GaSi,-4.06726656
144,matpes-20240214_1183054_1,Ac2GaSi,-4.042128325
145,matpes-20240214_1183054_7,Ac2GaSi,-4.009169095000004
146,matpes-20240214_1183054_4,Ac2GaSi,-3.976897360000002
147,matpes-20240214_1183054_0,Ac2GaSi,-3.8922207100000032
148,matpes-20240214_1183054_6,Ac2GaSi,-3.8807557075
149,matpes-20240214_1183054_2,Ac2GaSi,-3.785559644999999
150,matpes-20240214_1183054_9,Ac2GaSi,-3.765903355000006
151,matpes-20240214_1183054_3,Ac2GaSi,-3.4558543200000003
152,mp-867241,Ac2GePd,-4.513524697500003
153,matpes-20240214_867241_6,Ac2GePd,-4.480724332500003
154,matpes-20240214_867241_5,Ac2GePd,-4.358500135000007
155,matpes-20240214_867241_13,Ac2GePd,-4.304115842500004
156,matpes-20240214_867241_9,Ac2GePd,-4.134573302500009
157,matpes-20240214_867241_2,Ac2GePd,-4.114554395000006
158,matpes-20240214_867241_8,Ac2GePd,-4.104602120000003
159,matpes-20240214_867241_12,Ac2GePd,-4.053420507500007
160,matpes-20240214_867241_10,Ac2GePd,-4.042291785000003
161,matpes-20240214_867241_11,Ac2GePd,-3.997314377500004
162,matpes-20240214_867241_1,Ac2GePd,-3.918945897500002
163,matpes-20240214_867241_0,Ac2GePd,-3.851303047500003
164,matpes-20240214_867241_4,Ac2GePd,-3.846537922500005
165,matpes-20240214_867241_7,Ac2GePd,-3.826731770000002
166,matpes-20240214_867241_3,Ac2GePd,-3.818214260000005
167,matpes-20240214_861872_0,Ac2HgGe,-3.440927460000004
168,mp-861872,Ac2HgGe,-3.440927412500009
169,matpes-20240214_861872_8,Ac2HgGe,-3.392225225000004
170,matpes-20240214_861872_7,Ac2HgGe,-3.314129207500009
171,matpes-20240214_861872_3,Ac2HgGe,-3.277638182500006
172,matpes-20240214_861872_5,Ac2HgGe,-3.222765482500008
173,matpes-20240214_861872_1,Ac2HgGe,-3.217794540000007
174,matpes-20240214_861872_2,Ac2HgGe,-3.189625330000005
175,matpes-20240214_861872_9,Ac2HgGe,-3.007250047500008
176,matpes-20240214_861872_4,Ac2HgGe,-2.8674371775000083
177,matpes-20240214_861872_6,Ac2HgGe,-2.757488867500008
178,matpes-20240214_1183377_2,Ac2InGa,-3.614070767500003
179,mp-1183377,Ac2InGa,-3.587433690000004
180,matpes-20240214_1183377_0,Ac2InGa,-3.587433497500001
181,matpes-20240214_1183377_1,Ac2InGa,-3.413822947500001
182,matpes-20240214_1183377_3,Ac2InGa,-3.413657365000006
183,matpes-20240214_1183377_4,Ac2InGa,-2.596524140000006
184,matpes-20240214_865951_1,Ac2IrAu,-5.109808195000014
185,matpes-20240214_865951_0,Ac2IrAu,-5.106941162500007
186,mp-865951,Ac2IrAu,-5.106940307500011
187,matpes-20240214_865951_2,Ac2IrAu,-5.03540131750001
188,matpes-20240214_865951_5,Ac2IrAu,-5.030507357500014
189,matpes-20240214_865951_9,Ac2IrAu,-5.020973102500008
190,matpes-20240214_865951_7,Ac2IrAu,-4.997368720000011
191,matpes-20240214_865951_6,Ac2IrAu,-4.985841530000009
192,matpes-20240214_865951_3,Ac2IrAu,-4.969535017500007
193,matpes-20240214_865951_10,Ac2IrAu,-4.81741069000001
194,matpes-20240214_865951_8,Ac2IrAu,-4.499107232500009
195,matpes-20240214_865951_11,Ac2IrAu,-4.328969462500012
196,matpes-20240214_865951_4,Ac2IrAu,-3.815406337500008
197,matpes-20240214_866107_2,Ac2IrPd,-5.317040297500007
198,mp-866107,Ac2IrPd,-5.272688495000004
199,matpes-20240214_866107_1,Ac2IrPd,-5.187434727500005
200,matpes-20240214_866107_0,Ac2IrPd,-4.740674332500007
201,mp-1183093,Ac2IrRh,-5.55502992000001
202,matpes-20240214_1183093_6,Ac2IrRh,-5.503901717500007
203,matpes-20240214_1183093_7,Ac2IrRh,-5.4633373425000045
204,matpes-20240214_1183093_1,Ac2IrRh,-5.347614955000004
205,matpes-20240214_1183093_4,Ac2IrRh,-5.297143527500005
206,matpes-20240214_1183093_3,Ac2IrRh,-5.246426825000008
207,matpes-20240214_1183093_0,Ac2IrRh,-5.167418955000009
208,matpes-20240214_1183093_5,Ac2IrRh,-5.145628505000005
209,matpes-20240214_1183093_2,Ac2IrRh,-4.9154236325000085
210,mp-985286,Ac2Mg,-2.992877939999999
211,mp-1183089,Ac2Mg,-2.992494568333332
212,mp-1183085,Ac2Mg,-2.981483944999998
213,matpes-20240214_985286_0,Ac2Mg,-2.945538986666671
214,matpes-20240214_985286_5,Ac2Mg,-2.76672568666667
215,matpes-20240214_985286_8,Ac2Mg,-2.7402228533333357
216,matpes-20240214_985286_4,Ac2Mg,-2.681573496666667
217,matpes-20240214_985286_9,Ac2Mg,-2.653050536666664
218,matpes-20240214_1183085_2,Ac2Mg,-2.581766308333338
219,matpes-20240214_985286_7,Ac2Mg,-2.573980826666665
220,matpes-20240214_985286_2,Ac2Mg,-2.541564690000001
221,matpes-20240214_985286_6,Ac2Mg,-2.507556473333333
222,matpes-20240214_985286_1,Ac2Mg,-2.488159473333335
223,matpes-20240214_985286_10,Ac2Mg,-2.426913236666668
224,matpes-20240214_985286_3,Ac2Mg,-2.422766156666663
225,matpes-20240214_985286_11,Ac2Mg,-2.409573676666667
226,matpes-20240214_1183085_0,Ac2Mg,-2.206839306666666
227,matpes-20240214_1183085_3,Ac2Mg,-2.099080200000003
228,matpes-20240214_1183085_1,Ac2Mg,-2.062601553333337
229,mp-1183074,Ac2MgGa,-3.179102870000001
230,matpes-20240214_1183074_0,Ac2MgGa,-3.179086685000001
231,mp-1183078,Ac2MgPb,-3.289463250000004
232,matpes-20240214_1183078_14,Ac2MgPb,-3.278232732500001
233,matpes-20240214_1183078_0,Ac2MgPb,-3.217802387500001
234,matpes-20240214_1183078_17,Ac2MgPb,-3.175724815000002
235,matpes-20240214_1183078_16,Ac2MgPb,-3.112452600000004
236,matpes-20240214_1183078_15,Ac2MgPb,-3.058243750000002
237,matpes-20240214_1183078_6,Ac2MgPb,-3.043361547500005
238,matpes-20240214_1183078_2,Ac2MgPb,-3.037657482500002
239,matpes-20240214_1183078_12,Ac2MgPb,-3.034500145000002
240,matpes-20240214_1183078_9,Ac2MgPb,-3.021763645
241,matpes-20240214_1183078_1,Ac2MgPb,-2.813449220000002
242,matpes-20240214_1183078_13,Ac2MgPb,-2.798545262500006
243,matpes-20240214_1183078_11,Ac2MgPb,-2.759037185000004
244,matpes-20240214_1183078_10,Ac2MgPb,-2.628561242500005
245,matpes-20240214_1183078_4,Ac2MgPb,-2.5956899225
246,matpes-20240214_1183078_3,Ac2MgPb,-2.591955495
247,matpes-20240214_1183078_8,Ac2MgPb,-2.433530990000001
248,matpes-20240214_1183078_5,Ac2MgPb,-2.259676175000002
249,matpes-20240214_1183078_7,Ac2MgPb,-2.101237265000001
250,matpes-20240214_866103_0,Ac2MgSn,-3.447061895000004
251,mp-866103,Ac2MgSn,-3.446924472500001
252,matpes-20240214_866103_3,Ac2MgSn,-3.193944340000001
253,matpes-20240214_866103_2,Ac2MgSn,-3.05205188
254,matpes-20240214_866103_1,Ac2MgSn,-3.019589557499998
255,matpes-20240214_866103_4,Ac2MgSn,-2.550658500000004
256,mp-1183079,Ac2MgTl,-2.998218442499997
257,matpes-20240214_1183079_1,Ac2MgTl,-2.871048324999996
258,matpes-20240214_1183079_0,Ac2MgTl,-2.473886587499997
259,matpes-20240214_983587_12,Ac2NiGe,-4.380122430000007
260,matpes-20240214_983587_13,Ac2NiGe,-4.331896767500005
261,matpes-20240214_983587_2,Ac2NiGe,-4.273971097500009
262,mp-983587,Ac2NiGe,-4.249288950000007
263,matpes-20240214_983587_8,Ac2NiGe,-4.216631885000005
264,matpes-20240214_983587_0,Ac2NiGe,-4.20325194250001
265,matpes-20240214_983587_1,Ac2NiGe,-4.190455087500005
266,matpes-20240214_983587_7,Ac2NiGe,-4.14755345750001
267,matpes-20240214_983587_5,Ac2NiGe,-4.117250402500005
268,matpes-20240214_983587_3,Ac2NiGe,-4.082823727500006
269,matpes-20240214_983587_6,Ac2NiGe,-4.071013577500004
270,matpes-20240214_983587_4,Ac2NiGe,-3.978194372500006
271,matpes-20240214_983587_10,Ac2NiGe,-3.809172297500005
272,matpes-20240214_983587_11,Ac2NiGe,-3.751136245000005
273,matpes-20240214_983587_9,Ac2NiGe,-3.727898542500007
274,matpes-20240214_862849_14,Ac2NiIr,-5.054898797500002
275,matpes-20240214_862849_13,Ac2NiIr,-5.052033527500001
276,mp-862849,Ac2NiIr,-5.046975637500004
277,matpes-20240214_862849_0,Ac2NiIr,-5.0469696575
278,matpes-20240214_862849_19,Ac2NiIr,-4.885301495
279,matpes-20240214_862849_7,Ac2NiIr,-4.856873804999999
280,matpes-20240214_862849_12,Ac2NiIr,-4.853115822500001
281,matpes-20240214_862849_22,Ac2NiIr,-4.827595854999998
282,matpes-20240214_862849_31,Ac2NiIr,-4.806254182499998
283,matpes-20240214_862849_37,Ac2NiIr,-4.805780304999999
284,matpes-20240214_862849_30,Ac2NiIr,-4.783500070000002
285,matpes-20240214_862849_17,Ac2NiIr,-4.7550611200000015
286,matpes-20240214_862849_25,Ac2NiIr,-4.753578320000004
287,matpes-20240214_862849_23,Ac2NiIr,-4.734080015000003
288,matpes-20240214_862849_11,Ac2NiIr,-4.726716437500002
289,matpes-20240214_862849_10,Ac2NiIr,-4.707302230000003
290,matpes-20240214_862849_32,Ac2NiIr,-4.6594998775000045
291,matpes-20240214_862849_9,Ac2NiIr,-4.644178830000001
292,matpes-20240214_862849_21,Ac2NiIr,-4.589308352499998
293,matpes-20240214_862849_20,Ac2NiIr,-4.5459939375000005
294,matpes-20240214_862849_28,Ac2NiIr,-4.501352619999999
295,matpes-20240214_862849_26,Ac2NiIr,-4.475072672500005
296,matpes-20240214_862849_29,Ac2NiIr,-4.453118279999998
297,matpes-20240214_862849_6,Ac2NiIr,-4.439901322499999
298,matpes-20240214_862849_24,Ac2NiIr,-4.417691850000004
299,matpes-20240214_862849_27,Ac2NiIr,-4.406958005
300,matpes-20240214_862849_4,Ac2NiIr,-4.400175172499999
301,matpes-20240214_862849_36,Ac2NiIr,-4.392078070000004
302,matpes-20240214_862849_5,Ac2NiIr,-4.324213245000003
303,matpes-20240214_862849_34,Ac2NiIr,-4.309457055000003
304,matpes-20240214_862849_3,Ac2NiIr,-4.204270569999998
305,matpes-20240214_862849_18,Ac2NiIr,-4.19578319
306,matpes-20240214_862849_35,Ac2NiIr,-4.148303040000002
307,matpes-20240214_862849_16,Ac2NiIr,-4.135624747500003
308,matpes-20240214_862849_15,Ac2NiIr,-3.852114257499998
309,matpes-20240214_862849_2,Ac2NiIr,-3.299423295000004
310,matpes-20240214_862849_1,Ac2NiIr,-2.36144419
311,mp-11107,Ac2O3,-6.699556590000004
312,matpes-20240214_11107_0,Ac2O3,-6.481045552000001
313,mp-977351,Ac2S3,-5.610729169000002
314,matpes-20240214_977351_0,Ac2S3,-5.337577927000002
315,mp-862698,Ac2SiAu,-4.436191002499996
316,matpes-20240214_862698_4,Ac2SiAu,-4.422104355000002
317,matpes-20240214_862698_5,Ac2SiAu,-4.383355147499998
318,matpes-20240214_862698_3,Ac2SiAu,-4.205735259999997
319,matpes-20240214_862698_1,Ac2SiAu,-4.149896749999996
320,matpes-20240214_862698_2,Ac2SiAu,-4.089675017499999
321,matpes-20240214_862698_0,Ac2SiAu,-3.338363072500001
322,mp-983586,Ac2SiHg,-3.517746067500006
323,mp-865855,Ac2SiPd,-4.589974615000003
324,mp-1183073,Ac2TlIn,-3.407385064999999
325,matpes-20240214_1183073_0,Ac2TlIn,-3.407384927500004
326,matpes-20240214_1183073_7,Ac2TlIn,-3.248153747499998
327,matpes-20240214_1183073_1,Ac2TlIn,-3.245424702500003
328,matpes-20240214_1183073_20,Ac2TlIn,-3.214382012500003
329,matpes-20240214_1183073_5,Ac2TlIn,-3.212979115000003
330,matpes-20240214_1183073_23,Ac2TlIn,-3.165207307499997
331,matpes-20240214_1183073_8,Ac2TlIn,-2.962471117500001
332,matpes-20240214_1183073_21,Ac2TlIn,-2.9301613800000013
333,matpes-20240214_1183073_14,Ac2TlIn,-2.912864499999997
334,matpes-20240214_1183073_6,Ac2TlIn,-2.895503505
335,matpes-20240214_1183073_16,Ac2TlIn,-2.860166832499999
336,matpes-20240214_1183073_4,Ac2TlIn,-2.832953162500004
337,matpes-20240214_1183073_22,Ac2TlIn,-2.826529632499998
338,matpes-20240214_1183073_17,Ac2TlIn,-2.798724220000004
339,matpes-20240214_1183073_15,Ac2TlIn,-2.754058807500001
340,matpes-20240214_1183073_2,Ac2TlIn,-2.694343672500004
341,matpes-20240214_1183073_11,Ac2TlIn,-2.675288967500002
342,matpes-20240214_1183073_19,Ac2TlIn,-2.665817834999998
343,matpes-20240214_1183073_10,Ac2TlIn,-2.612113517499999
344,matpes-20240214_1183073_12,Ac2TlIn,-2.604908854999998
345,matpes-20240214_1183073_13,Ac2TlIn,-2.5708010674999997
346,matpes-20240214_1183073_3,Ac2TlIn,-2.552072510000002
347,matpes-20240214_1183073_18,Ac2TlIn,-2.521621702499999
348,matpes-20240214_1183073_24,Ac2TlIn,-2.500468797499998
349,matpes-20240214_1183073_9,Ac2TlIn,-2.3677509875000022
350,matpes-20240214_1183073_25,Ac2TlIn,-2.127240425000003
351,mp-1183070,Ac2TlSn,-3.712253965000002
352,matpes-20240214_1183070_5,Ac2TlSn,-3.556051545000002
353,matpes-20240214_1183070_8,Ac2TlSn,-3.533480250000003
354,matpes-20240214_1183070_9,Ac2TlSn,-3.431634755000004
355,matpes-20240214_1183070_3,Ac2TlSn,-3.348290939999998
356,matpes-20240214_1183070_18,Ac2TlSn,-3.2996355175
357,matpes-20240214_1183070_4,Ac2TlSn,-3.273431694999999
358,matpes-20240214_1183070_2,Ac2TlSn,-3.231290847499998
359,matpes-20240214_1183070_19,Ac2TlSn,-3.21486582
360,matpes-20240214_1183070_1,Ac2TlSn,-3.1802719175
361,matpes-20240214_1183070_6,Ac2TlSn,-3.173041437500004
362,matpes-20240214_1183070_17,Ac2TlSn,-3.007556364999999
363,matpes-20240214_1183070_0,Ac2TlSn,-2.9967876525000032
364,matpes-20240214_1183070_10,Ac2TlSn,-2.9593932900000013
365,matpes-20240214_1183070_16,Ac2TlSn,-2.779313592500003
366,matpes-20240214_1183070_15,Ac2TlSn,-2.7680487350000003
367,matpes-20240214_1183070_11,Ac2TlSn,-2.6383289575
368,matpes-20240214_1183070_12,Ac2TlSn,-2.620100749999999
369,matpes-20240214_1183070_7,Ac2TlSn,-2.606558835000001
370,matpes-20240214_1183070_14,Ac2TlSn,-2.565787794999998
371,matpes-20240214_1183070_13,Ac2TlSn,-2.507404425000004
372,matpes-20240214_1183066_0,Ac2ZnAu,-3.5387002075
373,mp-1183066,Ac2ZnAu,-3.538606897499996
374,matpes-20240214_1183066_3,Ac2ZnAu,-3.478750909999995
375,matpes-20240214_1183066_8,Ac2ZnAu,-3.464534229999998
376,matpes-20240214_1183066_5,Ac2ZnAu,-3.336547490000001
377,matpes-20240214_1183066_12,Ac2ZnAu,-3.225667715
378,matpes-20240214_1183066_11,Ac2ZnAu,-3.216265257499998
379,matpes-20240214_1183066_1,Ac2ZnAu,-3.196680162500001
380,matpes-20240214_1183066_6,Ac2ZnAu,-3.193400769999996
381,matpes-20240214_1183066_9,Ac2ZnAu,-3.145888495000001
382,matpes-20240214_1183066_13,Ac2ZnAu,-3.1426128149999992
383,matpes-20240214_1183066_7,Ac2ZnAu,-3.129743319999995
384,matpes-20240214_1183066_4,Ac2ZnAu,-3.096625512499997
385,matpes-20240214_1183066_2,Ac2ZnAu,-2.964489454999999
386,matpes-20240214_1183066_10,Ac2ZnAu,-2.9079011500000003
387,mp-866018,Ac2ZnGe,-3.566838825000005
388,mp-1183067,Ac2ZnHg,-2.643909380000003
389,matpes-20240214_1183067_0,Ac2ZnHg,-2.520778435000004
390,mp-1183106,Ac2ZnIn,-3.128705742500003
391,matpes-20240214_865398_0,Ac2ZnIr,-4.410682985000001
392,matpes-20240214_865398_1,Ac2ZnIr,-4.395515349999997
393,mp-865398,Ac2ZnIr,-4.341880517499995
394,mp-866289,Ac2ZnSi,-3.653351759999999
395,matpes-20240214_866289_8,Ac2ZnSi,-3.5866524825
396,matpes-20240214_866289_0,Ac2ZnSi,-3.540648357500004
397,matpes-20240214_866289_4,Ac2ZnSi,-3.423687694999998
398,matpes-20240214_866289_6,Ac2ZnSi,-3.359673932500001
399,matpes-20240214_866289_3,Ac2ZnSi,-3.327405652499997
400,matpes-20240214_866289_5,Ac2ZnSi,-3.325926119999998
401,matpes-20240214_866289_2,Ac2ZnSi,-3.100164235000001
402,matpes-20240214_866289_1,Ac2ZnSi,-3.055208357499999
403,matpes-20240214_866289_7,Ac2ZnSi,-2.4111142725
404,mp-1183061,Ac2ZnSn,-3.479120430000002
405,matpes-20240214_1183061_1,Ac2ZnSn,-3.454836140000004
406,matpes-20240214_1183061_2,Ac2ZnSn,-3.008872392500002
407,matpes-20240214_1183061_3,Ac2ZnSn,-2.913874284999998
408,matpes-20240214_1183061_0,Ac2ZnSn,-2.607031450000001
409,matpes-20240214_1183080_16,Ac3Ag,-3.333531382500005
410,mp-1183112,Ac3Ag,-3.282061402500005
411,mp-1183080,Ac3Ag,-3.266469010000001
412,matpes-20240214_1183080_0,Ac3Ag,-3.266451272500006
413,matpes-20240214_1183080_2,Ac3Ag,-3.261961487500002
414,matpes-20240214_1183080_12,Ac3Ag,-3.250789705000002
415,matpes-20240214_1183080_1,Ac3Ag,-3.239827912500004
416,matpes-20240214_1183080_8,Ac3Ag,-3.189792985000004
417,matpes-20240214_1183080_17,Ac3Ag,-3.166940355000001
418,matpes-20240214_1183080_15,Ac3Ag,-3.157122087500006
419,matpes-20240214_1183080_7,Ac3Ag,-3.067647352500003
420,matpes-20240214_1183080_4,Ac3Ag,-2.979568830000005
421,matpes-20240214_1183080_6,Ac3Ag,-2.974643482500006
422,matpes-20240214_1183080_5,Ac3Ag,-2.907964825000007
423,matpes-20240214_1183080_18,Ac3Ag,-2.87786561
424,matpes-20240214_1183080_10,Ac3Ag,-2.831168047500007
425,matpes-20240214_1183080_11,Ac3Ag,-2.800360725000004
426,matpes-20240214_1183080_3,Ac3Ag,-2.754318905000005
427,matpes-20240214_1183080_9,Ac3Ag,-2.657353670000006
428,mp-1183064,Ac3Au,-3.610997792500001
429,matpes-20240214_1183119_17,Ac3Br,-3.643702220000001
